key,value,width_bytes
CONFIG_ABILITY_BROWSER_ENABLED,1,1
CONFIG_ALLOW_TICKETS,1,1
CONFIG_ARTIFACT_RANDOM_ENCHANT_REBORN_UNLOCK_LEVEL_1,35,4
CONFIG_ARTIFACT_RANDOM_ENCHANT_REBORN_UNLOCK_LEVEL_2,0,4
CONFIG_ARTIFACT_RANDOM_ENCHANT_REBORN_UNLOCK_LEVEL_3,0,4
CONFIG_ARTIFACT_RANDOM_ENCHANT_REBORN_UNLOCK_LEVEL_4,0,4
CONFIG_ARTIFACT_RANDOM_ENCHANT_REBORN_UNLOCK_LEVEL_5,0,4
CONFIG_ARTIFACT_RANDOM_ENCHANT_REBORN_UNLOCK_LEVEL_6,0,4
CONFIG_ARTIFACT_RANDOM_ENCHANT_REBORN_UNLOCK_LEVEL_7,0,4
CONFIG_ARTIFACT_RANDOM_ENCHANT_REBORN_UNLOCK_LEVEL_8,0,4
CONFIG_ARTIFACT_RANDOM_ENCHANT_REBORN_UNLOCK_LEVEL_9,0,4
CONFIG_ARTIFACT_RANDOM_ENCHANT_UNLOCK_LEVEL_1,0,4
CONFIG_ARTIFACT_RANDOM_ENCHANT_UNLOCK_LEVEL_2,0,4
CONFIG_ARTIFACT_RANDOM_ENCHANT_UNLOCK_LEVEL_3,0,4
CONFIG_ARTIFACT_RANDOM_ENCHANT_UNLOCK_LEVEL_4,0,4
CONFIG_ARTIFACT_RANDOM_ENCHANT_UNLOCK_LEVEL_5,0,4
CONFIG_ARTIFACT_RANDOM_ENCHANT_UNLOCK_LEVEL_6,0,4
CONFIG_ARTIFACT_RANDOM_ENCHANT_UNLOCK_LEVEL_7,0,4
CONFIG_ARTIFACT_RANDOM_ENCHANT_UNLOCK_LEVEL_8,0,4
CONFIG_ARTIFACT_RANDOM_ENCHANT_UNLOCK_LEVEL_9,0,4
CONFIG_ARTIFACT_RANDOM_ENCHANT_WILDCARD_UNLOCK_LEVEL_1,0,4
CONFIG_ARTIFACT_RANDOM_ENCHANT_WILDCARD_UNLOCK_LEVEL_2,0,4
CONFIG_ARTIFACT_RANDOM_ENCHANT_WILDCARD_UNLOCK_LEVEL_3,0,4
CONFIG_ARTIFACT_RANDOM_ENCHANT_WILDCARD_UNLOCK_LEVEL_4,0,4
CONFIG_ARTIFACT_RANDOM_ENCHANT_WILDCARD_UNLOCK_LEVEL_5,0,4
CONFIG_ARTIFACT_RANDOM_ENCHANT_WILDCARD_UNLOCK_LEVEL_6,0,4
CONFIG_ARTIFACT_RANDOM_ENCHANT_WILDCARD_UNLOCK_LEVEL_7,0,4
CONFIG_ARTIFACT_RANDOM_ENCHANT_WILDCARD_UNLOCK_LEVEL_8,0,4
CONFIG_ARTIFACT_RANDOM_ENCHANT_WILDCARD_UNLOCK_LEVEL_9,0,4
CONFIG_BONUS_SEALED_CARD_PACKS_PROGRESS_REQUIRED,100,4
CONFIG_BUILD_DRAFT_ENABLED,1,1
CONFIG_BUILD_DRAFT_HIDDEN,0,1
CONFIG_BUILD_DRAFT_REWARD_AMOUNT1,1,4
CONFIG_BUILD_DRAFT_REWARD_AMOUNT2,5000,4
CONFIG_BUILD_DRAFT_REWARD_AMOUNT3,50,4
CONFIG_BUILD_DRAFT_REWARD_AMOUNT4,25,4
CONFIG_BUILD_DRAFT_REWARD_ITEM1,1287330,4
CONFIG_BUILD_DRAFT_REWARD_ITEM2,375250,4
CONFIG_BUILD_DRAFT_REWARD_ITEM3,98462,4
CONFIG_BUILD_DRAFT_REWARD_ITEM4,98570,4
CONFIG_CHALLENGE_CREATOR_ENABLED,0,1
CONFIG_CHALLENGE_ENABLED,1,1
CONFIG_CHALLENGE_FEATURED_REWARD_MULTIPLIER,1073741824,4
CONFIG_CHALLENGE_FORCED,0,4
CONFIG_CHALLENGE_FORCED_LEVEL,1,4
CONFIG_CHALLENGE_PERMADEATH_ENABLED,0,1
CONFIG_CHARACTER_ADVANCEMENT_BUILD_INSPECT_ENABLED,1,1
CONFIG_CHARACTER_ADVANCEMENT_HERO_ABILITY_TALENT_PURGE_ENABLED,1,1
CONFIG_CHARACTER_ADVANCEMENT_QUALITIES_ENABLED,0,1
CONFIG_CHARACTER_ADVANCEMENT_QUALITIES_MAX_EPIC_ABILITIES_CLASSIC,11,4
CONFIG_CHARACTER_ADVANCEMENT_QUALITIES_MAX_EPIC_ABILITIES_THE_BURNING_CRUSADE,11,4
CONFIG_CHARACTER_ADVANCEMENT_QUALITIES_MAX_EPIC_ABILITIES_WRATH_OF_THE_LICH_KING,11,4
CONFIG_CHARACTER_ADVANCEMENT_QUALITIES_MAX_LEGENDARY_ABILITIES_CLASSIC,6,4
CONFIG_CHARACTER_ADVANCEMENT_QUALITIES_MAX_LEGENDARY_ABILITIES_THE_BURNING_CRUSADE,6,4
CONFIG_CHARACTER_ADVANCEMENT_QUALITIES_MAX_LEGENDARY_ABILITIES_WRATH_OF_THE_LICH_KING,6,4
CONFIG_CHARACTER_ADVANCEMENT_QUALITIES_MAX_RARE_ABILITIES_CLASSIC,12,4
CONFIG_CHARACTER_ADVANCEMENT_QUALITIES_MAX_RARE_ABILITIES_THE_BURNING_CRUSADE,12,4
CONFIG_CHARACTER_ADVANCEMENT_QUALITIES_MAX_RARE_ABILITIES_WRATH_OF_THE_LICH_KING,12,4
CONFIG_CHARACTER_ADVANCEMENT_QUALITIES_MAX_UNCOMMON_ABILITIES_CLASSIC,10,4
CONFIG_CHARACTER_ADVANCEMENT_QUALITIES_MAX_UNCOMMON_ABILITIES_THE_BURNING_CRUSADE,10,4
CONFIG_CHARACTER_ADVANCEMENT_QUALITIES_MAX_UNCOMMON_ABILITIES_WRATH_OF_THE_LICH_KING,10,4
CONFIG_CHARACTER_ADVANCEMENT_TALENT_LOADOUTS_ENABLED,0,1
CONFIG_CHARACTER_ADVANCEMENT_TRAITS_ENABLED,0,1
CONFIG_CHARACTER_CREATION_ARCHETYPES_ENABLED,1,1
CONFIG_CHARACTER_LIST_MAX,10,4
CONFIG_CLASS_FUSION_ENABLED,0,1
CONFIG_CRUSADER_ENABLED,0,1
CONFIG_CRUSADER_HIDDEN,0,1
CONFIG_DELETED_CHARACTER_RECOVERY_COST,0,4
CONFIG_DELETED_CHARACTER_RECOVERY_LIMIT,50,4
CONFIG_DELETED_ITEM_RECOVERY_DEFAULT_COST,750000,4
CONFIG_DELETED_ITEM_RECOVERY_LIMIT,50,4
CONFIG_DELETED_ITEM_RECOVERY_SELL_PRICE_MULTIPLIER,1089470464,4
CONFIG_DISENCHANTED_ITEM_RECOVERY_LIMIT,50,4
CONFIG_DRAFT_ENABLE,0,1
CONFIG_DRAFT_HIDDEN,0,1
CONFIG_ENABLE_FULL_DRAFT_MODE,0,1
CONFIG_EPIC_RANDOM_ENCHANT_REBORN_UNLOCK_LEVEL_1,15,4
CONFIG_EPIC_RANDOM_ENCHANT_REBORN_UNLOCK_LEVEL_2,25,4
CONFIG_EPIC_RANDOM_ENCHANT_REBORN_UNLOCK_LEVEL_3,40,4
CONFIG_EPIC_RANDOM_ENCHANT_REBORN_UNLOCK_LEVEL_4,0,4
CONFIG_EPIC_RANDOM_ENCHANT_REBORN_UNLOCK_LEVEL_5,0,4
CONFIG_EPIC_RANDOM_ENCHANT_REBORN_UNLOCK_LEVEL_6,0,4
CONFIG_EPIC_RANDOM_ENCHANT_REBORN_UNLOCK_LEVEL_7,0,4
CONFIG_EPIC_RANDOM_ENCHANT_REBORN_UNLOCK_LEVEL_8,0,4
CONFIG_EPIC_RANDOM_ENCHANT_REBORN_UNLOCK_LEVEL_9,0,4
CONFIG_EPIC_RANDOM_ENCHANT_UNLOCK_LEVEL_1,15,4
CONFIG_EPIC_RANDOM_ENCHANT_UNLOCK_LEVEL_2,25,4
CONFIG_EPIC_RANDOM_ENCHANT_UNLOCK_LEVEL_3,40,4
CONFIG_EPIC_RANDOM_ENCHANT_UNLOCK_LEVEL_4,0,4
CONFIG_EPIC_RANDOM_ENCHANT_UNLOCK_LEVEL_5,0,4
CONFIG_EPIC_RANDOM_ENCHANT_UNLOCK_LEVEL_6,0,4
CONFIG_EPIC_RANDOM_ENCHANT_UNLOCK_LEVEL_7,0,4
CONFIG_EPIC_RANDOM_ENCHANT_UNLOCK_LEVEL_8,0,4
CONFIG_EPIC_RANDOM_ENCHANT_UNLOCK_LEVEL_9,0,4
CONFIG_EPIC_RANDOM_ENCHANT_WILDCARD_UNLOCK_LEVEL_1,0,4
CONFIG_EPIC_RANDOM_ENCHANT_WILDCARD_UNLOCK_LEVEL_2,0,4
CONFIG_EPIC_RANDOM_ENCHANT_WILDCARD_UNLOCK_LEVEL_3,0,4
CONFIG_EPIC_RANDOM_ENCHANT_WILDCARD_UNLOCK_LEVEL_4,0,4
CONFIG_EPIC_RANDOM_ENCHANT_WILDCARD_UNLOCK_LEVEL_5,0,4
CONFIG_EPIC_RANDOM_ENCHANT_WILDCARD_UNLOCK_LEVEL_6,0,4
CONFIG_EPIC_RANDOM_ENCHANT_WILDCARD_UNLOCK_LEVEL_7,0,4
CONFIG_EPIC_RANDOM_ENCHANT_WILDCARD_UNLOCK_LEVEL_8,0,4
CONFIG_EPIC_RANDOM_ENCHANT_WILDCARD_UNLOCK_LEVEL_9,0,4
CONFIG_FELFORGED_ENABLED,0,1
CONFIG_FELFORGED_HIDDEN,0,1
CONFIG_GROUP_FINDER_ENABLED,1,1
CONFIG_HERO_RANDOM_ENCHANT_SLOT_10_ENABLED,1,4
CONFIG_HERO_RANDOM_ENCHANT_SLOT_11_ENABLED,1,4
CONFIG_HERO_RANDOM_ENCHANT_SLOT_12_ENABLED,0,4
CONFIG_HERO_RANDOM_ENCHANT_SLOT_13_ENABLED,0,4
CONFIG_HERO_RANDOM_ENCHANT_SLOT_14_ENABLED,0,4
CONFIG_HERO_RANDOM_ENCHANT_SLOT_15_ENABLED,0,4
CONFIG_HERO_RANDOM_ENCHANT_SLOT_16_ENABLED,0,4
CONFIG_HERO_RANDOM_ENCHANT_SLOT_17_ENABLED,0,4
CONFIG_HERO_RANDOM_ENCHANT_SLOT_1_ENABLED,1,4
CONFIG_HERO_RANDOM_ENCHANT_SLOT_2_ENABLED,1,4
CONFIG_HERO_RANDOM_ENCHANT_SLOT_3_ENABLED,1,4
CONFIG_HERO_RANDOM_ENCHANT_SLOT_4_ENABLED,1,4
CONFIG_HERO_RANDOM_ENCHANT_SLOT_5_ENABLED,1,4
CONFIG_HERO_RANDOM_ENCHANT_SLOT_6_ENABLED,1,4
CONFIG_HERO_RANDOM_ENCHANT_SLOT_7_ENABLED,1,4
CONFIG_HERO_RANDOM_ENCHANT_SLOT_8_ENABLED,1,4
CONFIG_HERO_RANDOM_ENCHANT_SLOT_9_ENABLED,1,4
CONFIG_IRONMAN_ENABLE,0,1
CONFIG_IRONMAN_HIDDEN,1,1
CONFIG_LEGACY_CHARACTER_ADVANCEMENT_ENABLED,1,1
CONFIG_LEGENDARY_RANDOM_ENCHANT_REBORN_UNLOCK_LEVEL_1,30,4
CONFIG_LEGENDARY_RANDOM_ENCHANT_REBORN_UNLOCK_LEVEL_2,0,4
CONFIG_LEGENDARY_RANDOM_ENCHANT_REBORN_UNLOCK_LEVEL_3,0,4
CONFIG_LEGENDARY_RANDOM_ENCHANT_REBORN_UNLOCK_LEVEL_4,0,4
CONFIG_LEGENDARY_RANDOM_ENCHANT_REBORN_UNLOCK_LEVEL_5,0,4
CONFIG_LEGENDARY_RANDOM_ENCHANT_REBORN_UNLOCK_LEVEL_6,0,4
CONFIG_LEGENDARY_RANDOM_ENCHANT_REBORN_UNLOCK_LEVEL_7,0,4
CONFIG_LEGENDARY_RANDOM_ENCHANT_REBORN_UNLOCK_LEVEL_8,0,4
CONFIG_LEGENDARY_RANDOM_ENCHANT_REBORN_UNLOCK_LEVEL_9,0,4
CONFIG_LEGENDARY_RANDOM_ENCHANT_UNLOCK_LEVEL_1,0,4
CONFIG_LEGENDARY_RANDOM_ENCHANT_UNLOCK_LEVEL_2,0,4
CONFIG_LEGENDARY_RANDOM_ENCHANT_UNLOCK_LEVEL_3,0,4
CONFIG_LEGENDARY_RANDOM_ENCHANT_UNLOCK_LEVEL_4,0,4
CONFIG_LEGENDARY_RANDOM_ENCHANT_UNLOCK_LEVEL_5,0,4
CONFIG_LEGENDARY_RANDOM_ENCHANT_UNLOCK_LEVEL_6,0,4
CONFIG_LEGENDARY_RANDOM_ENCHANT_UNLOCK_LEVEL_7,0,4
CONFIG_LEGENDARY_RANDOM_ENCHANT_UNLOCK_LEVEL_8,0,4
CONFIG_LEGENDARY_RANDOM_ENCHANT_UNLOCK_LEVEL_9,0,4
CONFIG_LEGENDARY_RANDOM_ENCHANT_WILDCARD_UNLOCK_LEVEL_1,0,4
CONFIG_LEGENDARY_RANDOM_ENCHANT_WILDCARD_UNLOCK_LEVEL_2,0,4
CONFIG_LEGENDARY_RANDOM_ENCHANT_WILDCARD_UNLOCK_LEVEL_3,0,4
CONFIG_LEGENDARY_RANDOM_ENCHANT_WILDCARD_UNLOCK_LEVEL_4,0,4
CONFIG_LEGENDARY_RANDOM_ENCHANT_WILDCARD_UNLOCK_LEVEL_5,0,4
CONFIG_LEGENDARY_RANDOM_ENCHANT_WILDCARD_UNLOCK_LEVEL_6,0,4
CONFIG_LEGENDARY_RANDOM_ENCHANT_WILDCARD_UNLOCK_LEVEL_7,0,4
CONFIG_LEGENDARY_RANDOM_ENCHANT_WILDCARD_UNLOCK_LEVEL_8,0,4
CONFIG_LEGENDARY_RANDOM_ENCHANT_WILDCARD_UNLOCK_LEVEL_9,0,4
CONFIG_MANASTORM_ENABLED,0,1
CONFIG_MANASTORM_END_GAME_ENABLED,0,1
CONFIG_MANASTORM_LOADOUTS_ENABLED,0,1
CONFIG_MANASTORM_LOADOUTS_MAX,4,4
CONFIG_MAX_ARTIFACT_RANDOM_ENCHANTS,1,4
CONFIG_MAX_ARTIFACT_RANDOM_ENCHANTS_REBORN,1,4
CONFIG_MAX_ARTIFACT_RANDOM_ENCHANTS_WILDCARD,17,4
CONFIG_MAX_AUCTION_DEPOSIT_VANITY,200000,4
CONFIG_MAX_EPIC_RANDOM_ENCHANTS,3,4
CONFIG_MAX_EPIC_RANDOM_ENCHANTS_REBORN,3,4
CONFIG_MAX_EPIC_RANDOM_ENCHANTS_WILDCARD,17,4
CONFIG_MAX_LEGENDARY_RANDOM_ENCHANTS,1,4
CONFIG_MAX_LEGENDARY_RANDOM_ENCHANTS_REBORN,1,4
CONFIG_MAX_LEGENDARY_RANDOM_ENCHANTS_WILDCARD,17,4
CONFIG_MAX_RARE_RANDOM_ENCHANTS,17,4
CONFIG_MAX_RARE_RANDOM_ENCHANTS_REBORN,6,4
CONFIG_MAX_RARE_RANDOM_ENCHANTS_WILDCARD,17,4
CONFIG_MAX_UNCOMMON_RANDOM_ENCHANTS,6,4
CONFIG_METRIC_THRESHOLD_SMART_SCRIPT_PROCESS_ACTION,100,4
CONFIG_MYSTIC_ENCHANT_COLLECTION_REFORGE_ARTIFACT_MONEY_COST,1000000,4
CONFIG_MYSTIC_ENCHANT_COLLECTION_REFORGE_ARTIFACT_TOKEN_COST,3500,4
CONFIG_MYSTIC_ENCHANT_COLLECTION_REFORGE_EPIC_MONEY_COST,500000,4
CONFIG_MYSTIC_ENCHANT_COLLECTION_REFORGE_EPIC_TOKEN_COST,1500,4
CONFIG_MYSTIC_ENCHANT_COLLECTION_REFORGE_ITEM_ARTIFACT_MONEY_COST,1500000,4
CONFIG_MYSTIC_ENCHANT_COLLECTION_REFORGE_ITEM_ARTIFACT_TOKEN_COST,10000000,4
CONFIG_MYSTIC_ENCHANT_COLLECTION_REFORGE_ITEM_EPIC_MONEY_COST,1000000,4
CONFIG_MYSTIC_ENCHANT_COLLECTION_REFORGE_ITEM_EPIC_TOKEN_COST,10000000,4
CONFIG_MYSTIC_ENCHANT_COLLECTION_REFORGE_ITEM_LEGENDARY_MONEY_COST,1500000,4
CONFIG_MYSTIC_ENCHANT_COLLECTION_REFORGE_ITEM_LEGENDARY_TOKEN_COST,10000000,4
CONFIG_MYSTIC_ENCHANT_COLLECTION_REFORGE_ITEM_RARE_MONEY_COST,500000,4
CONFIG_MYSTIC_ENCHANT_COLLECTION_REFORGE_ITEM_RARE_TOKEN_COST,10000000,4
CONFIG_MYSTIC_ENCHANT_COLLECTION_REFORGE_ITEM_UNCOMMON_MONEY_COST,300000,4
CONFIG_MYSTIC_ENCHANT_COLLECTION_REFORGE_ITEM_UNCOMMON_TOKEN_COST,10000000,4
CONFIG_MYSTIC_ENCHANT_COLLECTION_REFORGE_LEGENDARY_MONEY_COST,750000,4
CONFIG_MYSTIC_ENCHANT_COLLECTION_REFORGE_LEGENDARY_TOKEN_COST,3500,4
CONFIG_MYSTIC_ENCHANT_COLLECTION_REFORGE_RARE_MONEY_COST,350000,4
CONFIG_MYSTIC_ENCHANT_COLLECTION_REFORGE_RARE_TOKEN_COST,1000,4
CONFIG_MYSTIC_ENCHANT_COLLECTION_REFORGE_UNCOMMON_MONEY_COST,250000,4
CONFIG_MYSTIC_ENCHANT_COLLECTION_REFORGE_UNCOMMON_TOKEN_COST,500,4
CONFIG_MYSTIC_ENCHANT_EXTRACT_ARTIFACT_TOKEN_COST,1,4
CONFIG_MYSTIC_ENCHANT_EXTRACT_EPIC_TOKEN_COST,1,4
CONFIG_MYSTIC_ENCHANT_EXTRACT_LEGENDARY_TOKEN_COST,1,4
CONFIG_MYSTIC_ENCHANT_EXTRACT_RARE_TOKEN_COST,1,4
CONFIG_MYSTIC_ENCHANT_EXTRACT_UNCOMMON_TOKEN_COST,1,4
CONFIG_MYSTIC_ENCHANT_REFORGE_MONEY_COST,4294967295,4
CONFIG_MYSTIC_ENCHANT_REFORGE_TOKEN_COST,250,4
CONFIG_MYTHIC_RECYCLING_RECOVERY_COST,100,4
CONFIG_MYTHIC_RECYCLING_RECOVERY_LIMIT,50,4
CONFIG_NIGHTMARE_ENABLE,0,1
CONFIG_NIGHTMARE_HIDDEN,1,1
CONFIG_PDUMP_MINIO_S3_STORAGE_ENABLED,1,1
CONFIG_PDUMP_MINIO_S3_STORAGE_PORT,8014,4
CONFIG_RANDOM_ENCHANT_DISPLAY_LEGENDARY_ENCHANT_ON_CHARACTER_SHEET_ENABLED,1,1
CONFIG_RANDOM_MODE_MAX_DEFAULT_COMMON_SKILL_CARDS,99,4
CONFIG_RANDOM_MODE_MAX_DEFAULT_EPIC_SKILL_CARDS,5,4
CONFIG_RANDOM_MODE_MAX_DEFAULT_FELFORGED_SKILL_CARDS,3,4
